Year,Age,Egg_Type,Donor,cyc_num,b_rate,singl_b
2000,37,fresh,0,17284,15.8,273087
2000,40,fresh,0,14701,8.7,127899
2000,42,fresh,0,6118,2.3,14071
2000,44,fresh,0,,,
2000,46,fresh,0,,,
2000,35,frozen,0,6090,5.9,35931
2000,37,frozen,0,2766,2.2,6085
2000,40,frozen,0,1670,1.1,1837
2000,42,frozen,0,541,0.1,54
2000,44,frozen,0,,,
2000,46,frozen,0,,,
2000,,fresh,1,6731,12.9,86830
2000,,frozen,1,2425,2.4,5820
1999,35,fresh,0,29682,24.8,736114
1999,37,fresh,0,15291,14.4,220190
1999,40,fresh,0,12848,8.8,113062
1999,42,fresh,0,5302,1.8,9544
1999,44,fresh,0,,,
1999,46,fresh,0,,,
1999,35,frozen,0,5615,4.6,25829
1999,37,frozen,0,2431,1.8,4376
1999,40,frozen,0,1670,0.8,1336
1999,42,frozen,0,513,0.2,103
1999,44,frozen,0,,,
1999,46,frozen,0,,,
1999,,fresh,1,5844,10.2,59609
1999,,frozen,1,2287,2.6,5946
